"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: FiveWs Pattern Mapping","Mapping: IDMP Mapping","Mapping: RIM Mapping"
"ManufacturedItemDefinition.component","ManufacturedItemDefinition.component","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Physical parts of the manufactured item, that it is intrisically made from. This is distinct from the ingredients that are part of its chemical makeup","Physical parts of the manufactured item, that it is intrisically made from. This is distinct from the ingredients that are part of its chemical makeup.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Manufactured Item.Physical Characteristics"
"ManufacturedItemDefinition.component.id","ManufacturedItemDefinition.component.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ManufacturedItemDefinition.component.extension","ManufacturedItemDefinition.component.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ManufacturedItemDefinition.component.modifierExtension","ManufacturedItemDefinition.component.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedItemDefinition.component.type","ManufacturedItemDefinition.component.type","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Defining type of the component e.g. shell, layer, ink","Defining type of the component e.g. shell, layer, ink.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Physical Characteristics, all attributes"
"ManufacturedItemDefinition.component.function","ManufacturedItemDefinition.component.function","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The function of this component within the item e.g. delivers active ingredient, masks taste","The function of this component within the item e.g. delivers active ingredient, masks taste.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.function",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.amount","ManufacturedItemDefinition.component.amount","","","",0,*,"","","Y","Quantity {[]} {[]}
","The measurable amount of total quantity of all substances in the component, expressable in different ways (e.g. by mass or volume)","The measurable amount of total quantity of all substances in the component, expressable in different ways (e.g. by mass or volume).","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.amount",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.constituent","ManufacturedItemDefinition.component.constituent","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","A reference to a constituent of the manufactured item as a whole, linked here so that its component location within the item can be indicated. This not where the item's ingredient are primarily stated (for which see Ingredient.for or ManufacturedItemDefinition.ingredient)","A reference to a constituent of the manufactured item as a whole, linked here so that its component location within the item can be indicated. This not where the item's ingredient are primarily stated (for which see Ingredient.for or ManufacturedItemDefinition.ingredient).","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.constituent",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.constituent.id","ManufacturedItemDefinition.component.constituent.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"ManufacturedItemDefinition.component.constituent.extension","ManufacturedItemDefinition.component.constituent.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ManufacturedItemDefinition.component.constituent.modifierExtension","ManufacturedItemDefinition.component.constituent.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ManufacturedItemDefinition.component.constituent.amount","ManufacturedItemDefinition.component.constituent.amount","","","",0,*,"","","Y","Quantity {[]} {[]}
","The measurable amount of the substance, expressable in different ways (e.g. by mass or volume)","The measurable amount of the substance, expressable in different ways (e.g. by mass or volume).","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.constituent.amount",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.constituent.location","ManufacturedItemDefinition.component.constituent.location","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The physical location of the constituent/ingredient within the component","The physical location of the constituent/ingredient within the component. Example – if the component is the bead in the capsule, then the location would be where the ingredient resides within the product part – intragranular, extra-granular, etc.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.constituent.location",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.constituent.function","ManufacturedItemDefinition.component.constituent.function","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","The function of this constituent within the component e.g. binder","The function of this constituent within the component e.g. binder.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.constituent.function",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.constituent.hasIngredient","ManufacturedItemDefinition.component.constituent.hasIngredient","","","",0,*,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Ingredient]]}
","The ingredient that is the constituent of the given component","The ingredient that is the constituent of the given component.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.constituent.hasIngredient",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.property","ManufacturedItemDefinition.component.property","","","",0,*,"","","Y","null {[]} {[]}
","General characteristics of this component","General characteristics of this component.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.property",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ManufacturedItemDefinition.component.component","ManufacturedItemDefinition.component.component","","","",0,*,"","","Y","null {[]} {[]}
","A component that this component contains or is made from","A component that this component contains or is made from.","","","","","","","","","",,,,,"",,,,"ManufacturedItemDefinition.component.component",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
